x,y,th,v,w,dv,dw,t
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.15
0,0,0,0,0,0,0,0.3
0,0,0,0,0,0,0,0.45
0,0,0,0,0,0,0,0.6
0,0,0,0,0,0,0,0.75
0,0,0,0,0,0,0,0.9
0,0,0,0,0,0,0,1.05
0,0,0,0,0,0,0,1.2
0,0,0,0,0,0,0,1.35
0,0,0,0,0,0,0,1.5
0.0022499911,0.25000633,0.0028125,0.015,0.01875,0.1,0.125,1.65
0.0067498309,0.2500443,0.0084375,0.03,0.0375,0.1,0.125,1.8
0.01349887,0.2501582,0.016875,0.045,0.05625,0.1,0.125,1.95
0.022495311,0.25041129,0.028125,0.06,0.075,0.1,0.125,2.1
0.033735301,0.25088576,0.0421875,0.075,0.09375,0.1,0.125,2.25
0.047211761,0.25168264,0.0590625,0.09,0.1125,0.1,0.125,2.4
0.062912949,0.25292167,0.07875,0.105,0.13125,0.1,0.125,2.55
0.080820764,0.25474106,0.10125,0.12,0.15,0.1,0.125,2.7
0.1009088,0.25729711,0.1265625,0.135,0.16875,0.1,0.125,2.85
0.12314014,0.26076372,0.1546875,0.15,0.1875,0.1,0.125,3
0.14746496,0.2653316,0.185625,0.165,0.20625,0.1,0.125,3.15
0.17381787,0.27120733,0.219375,0.18,0.225,0.1,0.125,3.3
0.20211509,0.27861204,0.2559375,0.195,0.24375,0.1,0.125,3.45
0.2322515,0.28777976,0.2953125,0.21,0.2625,0.1,0.125,3.6
0.26409751,0.29895537,0.3375,0.225,0.28125,0.1,0.125,3.75
0.29749595,0.31239204,0.3825,0.24,0.3,0.1,0.125,3.9
0.3322589,0.32834822,0.4303125,0.255,0.31875,0.1,0.125,4.05
0.36816465,0.34708394,0.4809375,0.27,0.3375,0.1,0.125,4.2
0.40495475,0.36885666,0.534375,0.285,0.35625,0.1,0.125,4.35
0.44233142,0.39391627,0.590625,0.3,0.375,0.1,0.125,4.5
