x,y,th,v,w,dv,dw,t,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0.15,,,
0,0,0,0,0,0,0,0.3,,,
0,0,0,0,0,0,0,0.45,,,
0,0,0,0,0,0,0,0.6,,,
0,0,0,0,0,0,0,0.75,,,
0,0,0,0,0,0,0,0.9,,,x y theta v w a(v) a(w)
0,0,0,0,0,0,0,1.05,,,
0,0,0,0,0,0,0,1.2,,,
0,0,0,0,0,0,0,1.35,,,
0,0,0,0,0,0,0,1.5,,,
0.00225,0,0,0.015,0,0.1,0,1.65,,,
0.00675,0,0,0.03,0,0.1,0,1.8,,,
0.0135,0,0,0.045,0,0.1,0,1.95,,,
0.0225,0,0,0.06,0,0.1,0,2.1,,,
0.03375,0,0,0.075,0,0.1,0,2.25,,,
0.04725,0,0,0.09,0,0.1,0,2.4,,,
0.063,0,0,0.105,0,0.1,0,2.55,,,
0.081,0,0,0.12,0,0.1,0,2.7,,,
0.10125,0,0,0.135,0,0.1,0,2.85,,,
0.12375,0,0,0.15,0,0.1,0,3,,,
0.1485,0,0,0.165,0,0.1,0,3.15,,,
0.1755,0,0,0.18,0,0.1,0,3.3,,,
0.20475,0,0,0.195,0,0.1,0,3.45,,,
0.23475,0,0,0.2,0,0.033333333,0,3.6,,,
0.26475,0,0,0.2,0,0,0,3.75,,,
0.29475,0,0,0.2,0,0,0,3.9,,,
0.32475,0,0,0.2,0,0,0,4.05,,,
0.35475,0,0,0.2,0,0,0,4.2,,,
0.38475,0,0,0.2,0,0,0,4.35,,,
0.41475,0,0,0.2,0,0,0,4.5,,,
0.44475,0,0,0.2,0,0,0,4.65,,,
0.47475,0,0,0.2,0,0,0,4.8,,,
0.50475,0,0,0.2,0,0,0,4.95,,,
0.53475,0,0,0.2,0,0,0,5.1,,,
0.56475,0,0,0.2,0,0,0,5.25,,,
0.59475,0,0,0.2,0,0,0,5.4,,,
0.62475,0,0,0.2,0,0,0,5.55,,,
0.65475,0,0,0.2,0,0,0,5.7,,,
0.68475,0,0,0.2,0,0,0,5.85,,,
0.71475,0,0,0.2,0,0,0,6,,,
0.74475,0,0,0.2,0,0,0,6.15,,,
0.77475,0,0,0.2,0,0,0,6.3,,,
0.80475,0,0,0.2,0,0,0,6.45,,,
0.83475,0,0,0.2,0,0,0,6.6,,,
0.86475,0,0,0.2,0,0,0,6.75,,,
0.89475,0,0,0.2,0,0,0,6.9,,,
0.92475,0,0,0.2,0,0,0,7.05,,,
0.95475,0,0,0.2,0,0,0,7.2,,,
0.98475,0,0,0.2,0,0,0,7.35,,,
1.01475,0,0,0.2,0,0,0,7.5,,,
1.04475,0,0,0.2,0,0,0,7.65,,,
1.07475,0,0,0.2,0,0,0,7.8,,,
1.10475,0,0,0.2,0,0,0,7.95,,,
1.13475,0,0,0.2,0,0,0,8.1,,,
1.16475,0,0,0.2,0,0,0,8.25,,,
1.19475,0,0,0.2,0,0,0,8.4,,,
1.22475,0,0,0.2,0,0,0,8.55,,,
1.25475,0,0,0.2,0,0,0,8.7,,,
1.28475,0,0,0.2,0,0,0,8.85,,,
1.31475,0,0,0.2,0,0,0,9,,,
1.34475,0,0,0.2,0,0,0,9.15,,,
1.37475,0,0,0.2,0,0,0,9.3,,,
1.40475,0,0,0.2,0,0,0,9.45,,,
1.43475,0,0,0.2,0,0,0,9.6,,,
1.46475,0,0,0.2,0,0,0,9.75,,,
1.49475,0,0,0.2,0,0,0,9.9,,,
1.52475,0,0,0.2,0,0,0,10.05,,,
1.55475,0,0,0.2,0,0,0,10.2,,,
1.58475,0,0,0.2,0,0,0,10.35,,,
1.61475,0,0,0.2,0,0,0,10.5,,,
1.64475,0,0,0.2,0,0,0,10.65,,,
1.67475,0,0,0.2,0,0,0,10.8,,,
1.70475,0,0,0.2,0,0,0,10.95,,,
1.73475,0,0,0.2,0,0,0,11.1,,,
1.76475,0,0,0.2,0,0,0,11.25,,,
1.7925,0,0,0.185,0,-0.1,0,11.4,,,
1.818,0,0,0.17,0,-0.1,0,11.55,,,
1.84125,0,0,0.155,0,-0.1,0,11.7,,,
1.86225,0,0,0.14,0,-0.1,0,11.85,,,
1.881,0,0,0.125,0,-0.1,0,12,,,
1.8975,0,0,0.11,0,-0.1,0,12.15,,,
1.91175,0,0,0.095,0,-0.1,0,12.3,,,
1.92375,0,0,0.08,0,-0.1,0,12.45,,,
1.9335,0,0,0.065,0,-0.1,0,12.6,,,
1.941,0,0,0.05,0,-0.1,0,12.75,,,
1.94625,0,0,0.035,0,-0.1,0,12.9,,,
1.94925,0,0,0.02,0,-0.1,0,13.05,,,
1.95,0,0,0.005,0,-0.1,0,13.2,,,
1.95,0,0,-8.6736174E-19,0,-0.033333333,0,13.35,,,
