x,y,th,v,w,dv,dw,t
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.15
0,0,0,0,0,0,0,0.3
0,0,0,0,0,0,0,0.45
0,0,0,0,0,0,0,0.6
0,0,0,0,0,0,0,0.75
0,0,0,0,0,0,0,0.9
0,0,0,0,0,0,0,1.05
0,0,0,0,0,0,0,1.2
0,0,0,0,0,0,0,1.35
0,0,0,0,0,0,0,1.5
0.00225,0,0.003375,0.015,0.0225,0.1,0.15,1.65
0.0067499744,1.5187471E-05,0.010125,0.03,0.045,0.1,0.15,1.8
0.013499628,8.3530053E-05,0.02025,0.045,0.0675,0.1,0.15,1.95
0.022497783,0.0002657676,0.03375,0.06,0.09,0.1,0.15,2.1
0.033741377,0.00064538302,0.050625,0.075,0.1125,0.1,0.15,2.25
0.047224081,0.0013285286,0.070875,0.09,0.135,0.1,0.15,2.4
0.062934539,0.0024438756,0.0945,0.105,0.1575,0.1,0.15,2.55
0.080854227,0.004142345,0.1215,0.12,0.18,0.1,0.15,2.7
0.10095494,0.006596671,0.151875,0.135,0.2025,0.1,0.15,2.85
0.12319595,0.010000737,0.185625,0.15,0.225,0.1,0.15,3
0.14752077,0.014568617,0.22275,0.165,0.2475,0.1,0.15,3.15
0.1738537,0.020533255,0.26325,0.18,0.27,0.1,0.15,3.3
0.20209602,0.028144689,0.307125,0.195,0.2925,0.1,0.15,3.45
0.23069222,0.037214272,0.352125,0.2,0.3,0.033333333,0.05,3.6
0.25885148,0.047561068,0.397125,0.2,0.3,0,0,3.75
0.28651678,0.059164128,0.442125,0.2,0.3,0,0,3.9
0.31363211,0.071999961,0.487125,0.2,0.3,0,0,4.05
0.34014258,0.086042578,0.532125,0.2,0.3,0,0,4.2
0.36599451,0.10126355,0.577125,0.2,0.3,0,0,4.35
0.39113555,0.11763205,0.622125,0.2,0.3,0,0,4.5
0.41551481,0.13511495,0.667125,0.2,0.3,0,0,4.65
